"Stock Number","Status","Full VIN","Car Color","Year","Asking","Required Down","Condition","Payments","Interest Rate","Payment","Make","Model","Type","Body Type","Trim","gvw","Cycles","Fuel Type","SiriusXM","Features","Mileage","Days in Inventory","Transmission Type","Logo","Level"
"3231","GREEN TAG","2G1WF5E34C1261254","GOLD","2012","13999","399","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","CHEVROLET","IMPALA","PASSENGER CAR","4 DOOR SEDAN","","0","V6, 3.6L; FFV; DOHC","GASOLINE/E85","False","","85349","63","AUTOMATIC","1781","False"
"3232","GREEN TAG","2G1WA5E31E1149996","GRAY","2014","14999","699","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","CHEVROLET","IMPALA LIMITED","PASSENGER CAR","4 DOOR SEDAN","","0","V6, 3.6L; FFV; DOHC","GASOLINE/E85","False","","71645","63","AUTOMATIC","1781","False"
"3237","GREEN TAG","1G1AL55F487236846","WHITE","2008","11999","399","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","CHEVROLET","COBALT","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 2.2L; DOHC","GASOLINE","False","","112194","63","AUTOMATIC","1781","False"
"3244","GREEN TAG","1J8FF48B79D158033","BLACK","2009","16999","699","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","JEEP","PATRIOT","MULTIPURPOSE VEHICLE (MPV)","4 DOOR WAGON","","0","L4, 2.4L; DOHC 16V","GASOLINE","True","","83685","55","AUTOMATIC","1781","False"
"3246","GREEN TAG","KMHCN46CX9U286190","BLACK","2009","12999","399","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","HYUNDAI","ACCENT","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 1.6L","GASOLINE","False","","71175","55","AUTOMATIC","1781","False"
"3248","GREEN TAG","1J8GR48K37C537299","BLUE","2007","15999","699","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","JEEP","GRAND CHEROKEE","MULTIPURPOSE VEHICLE (MPV)","4 DOOR WAGON","","0","V6, 3.7L (225 CID)","GASOLINE","False","","109100","55","AUTOMATIC","1781","False"
"3252","GREEN TAG","2B3KA43R08H239225","BLUE","2008","13999","399","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","DODGE","CHARGER","PASSENGER CAR","4 DOOR SEDAN","","0","V6, 2.7L; FFV; DOHC 24V","GASOLINE/E85","True","","117448","50","AUTOMATIC","1781","False"
"3253","GREEN TAG","3FAFP07176R109431","GRAY","2006","11999","399","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","FORD","FUSION","PASSENGER CAR","4 DOOR SEDAN","","0","V6, 3.0L","GASOLINE","False","","128238","50","AUTOMATIC","1781","False"
"3256","GREEN TAG","2G1WG5E30D1215385","SILVER","2013","14999","699","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","CHEVROLET","IMPALA","PASSENGER CAR","4 DOOR SEDAN","","0","V6, 3.6L; FFV; DOHC","GASOLINE/E85","True","","95705","50","AUTOMATIC","1781","False"
"3258","GREEN TAG","1G1PC5SB4E7325419","RED","2014","17999","999","RWB Certified","104","19.9%","""=PMT(J2/26,I2,H2)""","CHEVROLET","CRUZE","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 1.4L; FFV; DOHC; VVT; TURBO","GASOLINE/E85","True","","49722","43","6 SPEED AUTOMATIC","1781","False"
"3259","GREEN TAG","KNAFU4A2XD5740585","GRAY","2013","15999","699","RWB Certified","91","19.9%","""=PMT(J2/26,I2,H2)""","KIA","FORTE","PASSENGER CAR","4 DOOR SEDAN","","0","L4, 2.0L; DOHC","GASOLINE","True","","53850","43","AUTOMATIC","1781","False"
"3263","GREEN TAG","3GNEK13TX3G261882","GREEN","2003","18999","999","RWB Certified","104","19.9%","""=PMT(J2/26,I2,H2)""","CHEVROLET","AVALANCHE","PICKUP TRUCK","4 DOOR CAB; CREW","","0","V8, 5.3L","GASOLINE","False","","117591","43","AUTOMATIC","1781","False"
"3281","GREEN TAG","2T3BF4DV9BW113268","BLUE","2011","16999","999","RWB Certified","104","19.9%","""=PMT(J2/26,I2,H2)""","TOYOTA","RAV4","MULTIPURPOSE VEHICLE (MPV)","4 DOOR WAGON","","0","L4, 2.5L","GASOLINE","False","","119416","27","AUTOMATIC","1781","False"
