Stock Number,Status,Condition,Certified Logo,Full VIN,Car Color,Year, Asking ,Required Down,Term,Payments,Payment,Rate,Make,Model,Type,Body Type,Trim,Cycles,Fuel Type, Mileage ,Days in Inventory,Transmission Type
3219,GREEN TAG,RWB Certified,1445,1C3CDZAB8EN116082,SILVER,2014,"14,999.00",699,3.5,91,$229.44 ,19.90%,DODGE,AVENGER,PASSENGER CAR,4 DOOR SEDAN,,"L4, 2.4L",GASOLINE,"93,430",60,AUTOMATIC
3223,GREEN TAG,RWB Certified,1445,1G1ZA5EU0CF268201,TAN,2012,"14,999.00",699,3.5,91,$229.44 ,19.90%,CHEVROLET,MALIBU,PASSENGER CAR,4 DOOR SEDAN,,"L4, 2.4L; FFV; DOHC",GASOLINE/E85,"78,154",59,AUTOMATIC
3226,GREEN TAG,RWB Certified,1445,1G1ZA5EU7CF313652,BLUE,2012,"14,999.00",699,3.5,91,$229.44 ,19.90%,CHEVROLET,MALIBU,PASSENGER CAR,4 DOOR SEDAN,,"L4, 2.4L; FFV; DOHC",GASOLINE/E85,"81,778",59,AUTOMATIC
3228,GREEN TAG,RWB Certified,1445,1G1ZA5EU0CF387821,SILVER,2012,"14,999.00",699,3.5,91,$229.44 ,19.90%,CHEVROLET,MALIBU,PASSENGER CAR,4 DOOR SEDAN,,"L4, 2.4L; FFV; DOHC",GASOLINE/E85,"82,403",59,AUTOMATIC
3229,GREEN TAG,RWB Certified,1445,2G1WA5E39E1135389,SILVER,2014,"14,999.00",699,3.5,91,$229.44 ,19.90%,CHEVROLET,IMPALA LIMITED,PASSENGER CAR,4 DOOR SEDAN,,"V6, 3.6L; FFV; DOHC",GASOLINE/E85,"78,374",59,AUTOMATIC
3230,GREEN TAG,RWB Certified,1445,2G1WF5E34D1266195,GRAY,2013,"14,999.00",699,3.5,91,$229.44 ,19.90%,CHEVROLET,IMPALA,PASSENGER CAR,4 DOOR,,"V6, 3.6L; FFV; DOHC",GASOLINE/E85,"83,813",59,AUTOMATIC
3231,GREEN TAG,RWB Certified,1445,2G1WF5E34C1261254,GOLD,2012,"13,999.00",399,3.5,91,$214.14 ,19.90%,CHEVROLET,IMPALA,PASSENGER CAR,4 DOOR SEDAN,,"V6, 3.6L; FFV; DOHC",GASOLINE/E85,"85,349",59,AUTOMATIC
3232,GREEN TAG,RWB Certified,1445,2G1WA5E31E1149996,GRAY,2014,"14,999.00",699,3.5,91,$229.44 ,19.90%,CHEVROLET,IMPALA LIMITED,PASSENGER CAR,4 DOOR SEDAN,,"V6, 3.6L; FFV; DOHC",GASOLINE/E85,"71,645",59,AUTOMATIC
3237,GREEN TAG,RWB Certified,1445,1G1AL55F487236846,WHITE,2008,"11,999.00",399,3.5,91,$183.55 ,19.90%,CHEVROLET,COBALT,PASSENGER CAR,4 DOOR SEDAN,,"L4, 2.2L; DOHC",GASOLINE,"112,194",59,AUTOMATIC
3244,GREEN TAG,RWB Certified,1445,1J8FF48B79D158033,BLACK,2009,"16,999.00",699,3.5,91,$260.03 ,19.90%,JEEP,PATRIOT,MULTIPURPOSE VEHICLE (MPV),4 DOOR WAGON,,"L4, 2.4L; DOHC 16V",GASOLINE,"83,685",51,AUTOMATIC
3246,GREEN TAG,RWB Certified,1445,KMHCN46CX9U286190,BLACK,2009,"12,999.00",399,3.5,91,$198.85 ,19.90%,HYUNDAI,ACCENT,PASSENGER CAR,4 DOOR SEDAN,,"L4, 1.6L",GASOLINE,"71,175",51,AUTOMATIC
3248,GREEN TAG,RWB Certified,1445,1J8GR48K37C537299,BLUE,2007,"15,999.00",699,3.5,91,$244.74 ,19.90%,JEEP,GRAND CHEROKEE,MULTIPURPOSE VEHICLE (MPV),4 DOOR WAGON,,"V6, 3.7L (225 CID)",GASOLINE,"109,100",51,AUTOMATIC
3253,GREEN TAG,RWB Certified,1445,3FAFP07176R109431,GRAY,2006,"11,999.00",399,3.5,91,$183.55 ,19.90%,FORD,FUSION,PASSENGER CAR,4 DOOR SEDAN,,"V6, 3.0L",GASOLINE,"128,238",46,AUTOMATIC
3256,GREEN TAG,RWB Certified,1445,2G1WG5E30D1215385,SILVER,2013,"14,999.00",699,3.5,91,$229.44 ,19.90%,CHEVROLET,IMPALA,PASSENGER CAR,4 DOOR SEDAN,,"V6, 3.6L; FFV; DOHC",GASOLINE/E85,"95,705",46,AUTOMATIC
3258,GREEN TAG,RWB Certified,1445,1G1PC5SB4E7325419,RED,2014,"17,999.00",999,4,104,$251.62 ,19.90%,CHEVROLET,CRUZE,PASSENGER CAR,4 DOOR SEDAN,,"L4, 1.4L; FFV; DOHC; VVT; TURBO",GASOLINE/E85,"49,722",39,6 SPEED AUTOMATIC
3259,GREEN TAG,RWB Certified,1445,KNAFU4A2XD5740585,GRAY,2013,"15,999.00",699,3.5,91,$244.74 ,19.90%,KIA,FORTE,PASSENGER CAR,4 DOOR SEDAN,,"L4, 2.0L; DOHC",GASOLINE,"53,850",39,AUTOMATIC
3262,GREEN TAG,RWB Certified,1445,1GNKVJED4BJ139130,GRAY,2011,"18,999.00",999,4,104,$265.60 ,19.90%,CHEVROLET,TRAVERSE,MULTIPURPOSE VEHICLE (MPV),4 DOOR WAGON,,"V6, 3.6L",GASOLINE,"128,954",39,AUTOMATIC
3263,GREEN TAG,RWB Certified,1445,3GNEK13TX3G261882,GREEN,2003,"18,999.00",999,4,104,$265.60 ,19.90%,CHEVROLET,AVALANCHE,PICKUP TRUCK,4 DOOR CAB; CREW,,"V8, 5.3L",GASOLINE,"117,591",39,AUTOMATIC
3268,GREEN TAG,RWB Certified,1445,1J4GR48K95C712315,BLUE,2005,"13,999.00",399,3.5,91,$214.14 ,19.90%,JEEP,GRAND CHEROKEE,MULTIPURPOSE VEHICLE (MPV),4 DOOR WAGON,,"V6, 3.7L (225 CID)",GASOLINE,"137,533",32,AUTOMATIC
3281,GREEN TAG,RWB Certified,1445,2T3BF4DV9BW113268,BLUE,2011,"16,999.00",999,4,104,$237.64 ,19.90%,TOYOTA,RAV4,MULTIPURPOSE VEHICLE (MPV),4 DOOR WAGON,,"L4, 2.5L",GASOLINE,"119,416",23,AUTOMATIC
3286,GREEN TAG,RWB Certified,1445,4S3BMBC64B3241005,RED,2011,"15,999.00",699,3.5,91,$244.74 ,19.90%,SUBARU,LEGACY,PASSENGER CAR,4 DOOR SEDAN,,"B4, 2.5L; SOHC",GASOLINE,"99,660",23,CVT
